kernel,spacetime,array_part,latency,simd,path
lu,2,"-1,-1,-1","4,4","1,1","autosa_hls_refs/lu/st2_ap-1,-1,-1_lat4,4_simd1,1/lu_st2_ap-1,-1,-1_lat4,4_simd1,1_kernel_kernel.cpp"
lu,2,"-1,-1,-1","8,8","2,2","autosa_hls_refs/lu/st2_ap-1,-1,-1_lat8,8_simd2,2/lu_st2_ap-1,-1,-1_lat8,8_simd2,2_kernel_kernel.cpp"
lu,3,"-1,-1,-1","4,4","1,1","autosa_hls_refs/lu/st3_ap-1,-1,-1_lat4,4_simd1,1/lu_st3_ap-1,-1,-1_lat4,4_simd1,1_kernel_kernel.cpp"
lu,3,"-1,-1,-1","8,8","2,2","autosa_hls_refs/lu/st3_ap-1,-1,-1_lat8,8_simd2,2/lu_st3_ap-1,-1,-1_lat8,8_simd2,2_kernel_kernel.cpp"
lu,4,"-1,-1,-1","4,4","1,1","autosa_hls_refs/lu/st4_ap-1,-1,-1_lat4,4_simd1,1/lu_st4_ap-1,-1,-1_lat4,4_simd1,1_kernel_kernel.cpp"
lu,5,"-1,-1,-1","4,4","1,1","autosa_hls_refs/lu/st5_ap-1,-1,-1_lat4,4_simd1,1/lu_st5_ap-1,-1,-1_lat4,4_simd1,1_kernel_kernel.cpp"
lu,5,"-1,-1,-1","8,8","2,2","autosa_hls_refs/lu/st5_ap-1,-1,-1_lat8,8_simd2,2/lu_st5_ap-1,-1,-1_lat8,8_simd2,2_kernel_host.cpp"
cnn,0,"64,56,14,64","4,4,7","1,1,8","autosa_hls_refs/cnn/st0_ap64,56,14,64_lat4,4,7_simd1,1,8/cnn_st0_ap64,56,14,64_lat4,4,7_simd1,1,8_kernel_kernel.cpp"
cnn,0,"128,112,28,128","8,8,14","2,2,16","autosa_hls_refs/cnn/st0_ap128,112,28,128_lat8,8,14_simd2,2,16/cnn_st0_ap128,112,28,128_lat8,8,14_simd2,2,16_kernel_kernel.cpp"
cnn,1,"64,56,14,64","4,4,7","1,1,8","autosa_hls_refs/cnn/st1_ap64,56,14,64_lat4,4,7_simd1,1,8/cnn_st1_ap64,56,14,64_lat4,4,7_simd1,1,8_kernel_kernel.cpp"
cnn,1,"128,112,28,128","8,8,14","2,2,16","autosa_hls_refs/cnn/st1_ap128,112,28,128_lat8,8,14_simd2,2,16/cnn_st1_ap128,112,28,128_lat8,8,14_simd2,2,16_kernel_kernel.cpp"
cnn,2,"64,56,14,64","4,4,7","1,1,8","autosa_hls_refs/cnn/st2_ap64,56,14,64_lat4,4,7_simd1,1,8/cnn_st2_ap64,56,14,64_lat4,4,7_simd1,1,8_kernel_kernel.cpp"
cnn,2,"128,112,28,128","8,8,14","2,2,16","autosa_hls_refs/cnn/st2_ap128,112,28,128_lat8,8,14_simd2,2,16/cnn_st2_ap128,112,28,128_lat8,8,14_simd2,2,16_kernel_kernel.cpp"
cnn,3,"64,56,14,64","4,4,7","1,1,8","autosa_hls_refs/cnn/st3_ap64,56,14,64_lat4,4,7_simd1,1,8/cnn_st3_ap64,56,14,64_lat4,4,7_simd1,1,8_kernel_kernel.cpp"
cnn,3,"96,84,21,96","6,6,10","1,1,12","autosa_hls_refs/cnn/st3_ap96,84,21,96_lat6,6,10_simd1,1,12/cnn_st3_ap96,84,21,96_lat6,6,10_simd1,1,12_kernel_kernel.cpp"
cnn,3,"128,112,28,128","8,8,14","2,2,16","autosa_hls_refs/cnn/st3_ap128,112,28,128_lat8,8,14_simd2,2,16/cnn_st3_ap128,112,28,128_lat8,8,14_simd2,2,16_kernel_kernel.cpp"
cnn,4,"64,56,14,64","4,4,7","1,1,8","autosa_hls_refs/cnn/st4_ap64,56,14,64_lat4,4,7_simd1,1,8/cnn_st4_ap64,56,14,64_lat4,4,7_simd1,1,8_kernel_kernel.cpp"
cnn,4,"128,112,28,128","8,8,14","2,2,16","autosa_hls_refs/cnn/st4_ap128,112,28,128_lat8,8,14_simd2,2,16/cnn_st4_ap128,112,28,128_lat8,8,14_simd2,2,16_kernel_kernel.cpp"
cnn,5,"64,56,14,64","4,4,7","1,1,8","autosa_hls_refs/cnn/st5_ap64,56,14,64_lat4,4,7_simd1,1,8/cnn_st5_ap64,56,14,64_lat4,4,7_simd1,1,8_kernel_kernel.cpp"
cnn,5,"128,112,28,128","8,8,14","2,2,16","autosa_hls_refs/cnn/st5_ap128,112,28,128_lat8,8,14_simd2,2,16/cnn_st5_ap128,112,28,128_lat8,8,14_simd2,2,16_kernel_kernel.cpp"
cnn,6,"64,56,14,64","4,4,7","1,1,8","autosa_hls_refs/cnn/st6_ap64,56,14,64_lat4,4,7_simd1,1,8/cnn_st6_ap64,56,14,64_lat4,4,7_simd1,1,8_kernel_kernel.cpp"
cnn,6,"96,84,21,96","6,6,10","1,1,12","autosa_hls_refs/cnn/st6_ap96,84,21,96_lat6,6,10_simd1,1,12/cnn_st6_ap96,84,21,96_lat6,6,10_simd1,1,12_kernel_kernel.cpp"
cnn,6,"128,112,28,128","8,8,14","2,2,16","autosa_hls_refs/cnn/st6_ap128,112,28,128_lat8,8,14_simd2,2,16/cnn_st6_ap128,112,28,128_lat8,8,14_simd2,2,16_kernel_kernel.cpp"
cnn,7,"64,56,14,64","4,4,7","1,1,8","autosa_hls_refs/cnn/st7_ap64,56,14,64_lat4,4,7_simd1,1,8/cnn_st7_ap64,56,14,64_lat4,4,7_simd1,1,8_kernel_kernel.cpp"
cnn,7,"128,112,28,128","8,8,14","2,2,16","autosa_hls_refs/cnn/st7_ap128,112,28,128_lat8,8,14_simd2,2,16/cnn_st7_ap128,112,28,128_lat8,8,14_simd2,2,16_kernel_kernel.cpp"
cnn,3,"80,70,17,80","5,5,8","1,1,10","autosa_hls_refs/cnn/st3_ap80,70,17,80_lat5,5,8_simd1,1,10/cnn_st3_ap80,70,17,80_lat5,5,8_simd1,1,10_kernel_kernel.cpp"
cnn,6,"80,70,17,80","5,5,8","1,1,10","autosa_hls_refs/cnn/st6_ap80,70,17,80_lat5,5,8_simd1,1,10/cnn_st6_ap80,70,17,80_lat5,5,8_simd1,1,10_kernel_kernel.cpp"
